
   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server

  2026-09-22 20:54:15 / ........................................................................................ ~ 4s
  2026-09-22 20:54:20 /explorar ............................................................................ ~ 0.11ms
  2026-09-22 20:54:21 /explorar/agua-azul ................................................................ ~ 508.50ms
  2026-09-22 20:54:21 /documentacion ..................................................................... ~ 508.13ms
  2026-09-22 20:54:21 /acerca .............................................................................. ~ 0.08ms
  2026-09-22 20:54:22 /api/v1 ............................................................................ ~ 511.68ms
  2026-09-22 20:54:22 /api/v1/atomos ..................................................................... ~ 506.10ms
  2026-09-22 20:54:22 /api/v1/atomos/16 .................................................................... ~ 0.04ms
  2026-09-22 20:54:23 /api/v1/atomos/16/cercanos ......................................................... ~ 505.92ms
  2026-09-22 20:54:23 /api/v1/mapa ......................................................................... ~ 0.07ms
  2026-09-22 20:54:23 /api/v1/categorias ................................................................... ~ 0.10ms
  2026-09-22 20:54:23 /api/v1/origenes ................................................................... ~ 509.92ms
  2026-09-22 20:54:24 /api/v1/eventos ...................................................................... ~ 0.04ms
  2026-09-22 20:54:24 /DataSetA.xml ...................................................................... ~ 506.02ms
  2026-09-22 20:54:24 /descargas/DataSetB.json ............................................................. ~ 0.05ms
  2026-09-22 20:54:25 /descargas/DataSetC.csv ............................................................ ~ 505.74ms
  2026-09-22 20:54:25 /descargas/DataSet.geojson ........................................................... ~ 0.03ms
  2026-09-22 20:54:25 /fotos/1 ........................................................................... ~ 509.55ms
  2026-09-22 20:54:26 /fotos/1/miniatura ................................................................. ~ 507.62ms
  2026-09-22 20:54:26 /admin ............................................................................... ~ 0.05ms
  2026-09-22 20:54:27 /admin/entrar ........................................................................ ~ 0.07ms
  2026-09-22 20:54:27 /api/v1/atomos ..................................................................... ~ 509.13ms
  2026-09-22 20:54:28 /api/v1/atomos/999999 .............................................................. ~ 509.99ms
  2026-09-22 20:54:37 /api/v1/atomos/16 .................................................................... ~ 0.08ms
  2026-09-22 20:54:37 /api/v1/atomos/16/cercanos ........................................................... ~ 0.08ms
  2026-09-22 20:54:37 /api/v1/eventos .................................................................... ~ 503.44ms
  2026-09-22 20:54:38 /api/v1/atomos ....................................................................... ~ 0.07ms
  2026-09-22 20:54:38 /api/v1/atomos ....................................................................... ~ 0.07ms
  2026-09-22 20:54:38 /api/v1/categorias ................................................................. ~ 503.01ms
  2026-09-22 20:54:39 /descargas/DataSetC.csv .............................................................. ~ 0.04ms
  2026-09-22 20:54:49 /admin/entrar ...................................................................... ~ 505.13ms
  2026-09-22 20:54:50 /admin/entrar ...................................................................... ~ 510.45ms
  2026-09-22 20:54:50 /admin ............................................................................. ~ 502.94ms
  2026-09-22 20:54:51 /admin ............................................................................... ~ 0.10ms
  2026-09-22 20:54:51 /admin/atomos ...................................................................... ~ 518.24ms
  2026-09-22 20:54:52 /admin/atomos ...................................................................... ~ 516.80ms
  2026-09-22 20:54:53 /admin/atomos/16/edit .............................................................. ~ 502.02ms
  2026-09-22 20:54:54 /admin/atomos/create ................................................................. ~ 0.13ms
  2026-09-22 20:54:54 /admin/eventos ..................................................................... ~ 506.04ms
  2026-09-22 20:54:54 /admin/eventos/10/edit ............................................................. ~ 511.84ms
  2026-09-22 20:54:55 /admin/categorias .................................................................. ~ 503.66ms
  2026-09-22 20:55:08 /api/v1 .............................................................................. ~ 0.07ms
  2026-09-22 20:55:08 /admin/atomos/16/edit .............................................................. ~ 510.01ms
  2026-09-22 20:55:09 /api/v1/atomos/16 .................................................................. ~ 506.67ms
  2026-09-22 20:55:09 /admin/atomos/16 ......................................................................... ~ 5s
  2026-09-22 20:55:15 /api/v1/atomos/16 .................................................................... ~ 0.13ms
  2026-09-22 20:55:15 /api/v1 .............................................................................. ~ 0.09ms
  2026-09-22 20:55:16 /DataSetA.xml ...................................................................... ~ 510.80ms
